"product_type","product_name","product_description"
"Life","TokioMarine-LifeTreasure","Live without regrets during your best years"
"Life","Convertible Term Assurance","Largest sum assured protection at the lowest cost."
"Life","Perlindungan Tenang TokioMarine E-ssential Tenang","Affordable Internet Life Insurance Plan for everyone."
"Life","TokioMarine-TermDefender","Instant & affordable coverage up to RM 500,000!"
"Life","TokioMarine-iLady","Love yourself the way you love the world"
"Life","TokioMarine-iBig 2","Embrace the future without fear"
"Life","TokioMarine-iFlexSecure 2","Protection with Short-Term Commitment"
"Life","TokioMarine-iLifeSecure 2","Protect what’s important today for a secure tomorrow"
"Life","TokioMarine 360","An All-in-One Plan insurance solution specially designed for you"
"Life","TokioMarine-iMillion","Staying protected is one of the best gifts for your loved ones"
"Health","iCareGuard and iCareGuard Plus","Get Rewarded for Guarding Your Health"
"Health","iMediCare","Embracing freedom with a healthy life. We now cover COVID-19."
"Health","iComprehensive CI","Early Protection, Early Recovery"
"Health","TokioMarine-CriticalDefender","Affordable coverage for critical illness"
"Health","TokioMarine-MedicDefender","Affordable hospitalisation income plan"
"Health","Cancer Shield Plus","Feel secured with double protection. Be free from financial constraints."
"Health","iHealth Advance","Boosting your medical insurance coverage to ensure you always stay protected"
"Health","MedShield","Protection should you fall ill. Rewards should you stay healthy"
"General Savings","TokioMarine-Optimizer","Save now for a better tomorrow"
"General Savings","TokioMarine-iRich Premier / TokioMarine-iRich","Wealth Gain for a Rewarding Future"
"For Your Retirement","Asia Income Master Plus","Hassle-free retirement planning today. Worry-free comfort tomorrow."
"For Your Retirement","Asia Premier Endowment Plus","Make a golden investment. Enjoy a stream of income in your golden years."
"For Your Retirement","TokioMarine-XtraCash","Extra income for the present. Endless assurance for the future."
"For Education","TokioMarine-BrightFuture","Shine bright like a diamond"
"Employee Benefits","Group Term Life","Take better care of your employees. Protect them from harm arising from natural and accidental causes."
"Employee Benefits","Group Dread Disease","Medical coverage for 39 dread diseases. Essential protection for your employees."
