"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Tokio Marine","-","Critical Illness, Disability","#go TotalProtect Cancer","Your peace of mind. Our total protection.","Life Insurance"
"Tokio Marine","-","Investment","#goAffluence","Make your choice today to sit in affluence tomorrow","Life Insurance"
"Tokio Marine","-","Life, Investment","#goAssure","The perfect assurance duo to perfectly meet your life goals","Life Insurance"
"Tokio Marine","-","Investment","#goClassic / #goClassic Secure","Invest flexibly and capture market opportunities","Life Insurance"
"Tokio Marine","-","Investment","#goElite / #goElite Secure","Score multiple wins with a single push","Life Insurance"
"Tokio Marine","-","Investment","#goInvest / #goInvest Secure","Ride The Currents To An Ocean Of Wealth","Life Insurance"
"Tokio Marine","-","Investment","#goLuxe","Shape your luxury as you desire","Life Insurance"
"Tokio Marine","-","Investment","#goTreasures / #goTreasures Secure","Unlock Your Wealth Potential","Life Insurance"
"Tokio Marine","-","Investment","#goWealth Enrich","Let your wealth add up to greater gains","Life Insurance"
"Tokio Marine","-","Life","DIRECT- TM Basic Term","Basic coverage to meet your protection needs","Life Insurance"
"Tokio Marine","-","Investment","Harvest Flexi","An ideal wealth building solution for only 3 years of premium commitment","Life Insurance"
"Tokio Marine","-","Investment","Harvest Max","An ideal wealth building solution for medium to long-term regular investments","Life Insurance"
"Tokio Marine","-","Investment","Harvest Pro","An ideal wealth building solution for medium to long-term regular investments","Life Insurance"
"Tokio Marine","-","Motor","Private Motor Insurance","Step on the assurance. Drive up your confidence","General Insurance"
"Tokio Marine","-","Investment","TM Atlas Wealth","Global, multi-currency investment-linked plan that grows with you.","Life Insurance"
"Tokio Marine","-","Critical Illness, Disability","TM EarlyCover","Timely treatment for critical illnesses makes all the difference","Life Insurance"
"Tokio Marine","-","Home","TM Flexi-Home Enhance","Designed to bring You the essential protection for Your assets and lifestyle under one single Policy","General Insurance"
"Tokio Marine","-","Life, Investment","TM FlexiAssurance","Enhance your protection and grow your investment","Life Insurance"
"Tokio Marine","-","Life, Investment","TM FlexiCover","A flexible solution that adapts to your lifestyle changes","Life Insurance"
"Tokio Marine","-","Savings","TM KidStart (II)","Ensure your child has the bright future they deserve","Life Insurance"
"Tokio Marine","-","Critical Illness, Disability","TM MultiCare","Comprehensive protection against multiple critical illnesses","Life Insurance"
"Tokio Marine","-","Savings","TM Nest Egg (II) (CashBack 8/10)","Supercharge your plan for retirement","Life Insurance"
"Tokio Marine","-","Savings","TM Nest Egg (II) (FlexiSaver)","Get ready for tomorrow, today.","Life Insurance"
"Tokio Marine","-","H&P","TM PA (Personal Accident)","The protection you need against the unforeseen","Life Insurance"
"Tokio Marine","-","Critical Illness, Disability","TM Protect Cancer","Stay a step ahead of Cancer","Life Insurance"
"Tokio Marine","-","H&P","TM Protect MosBite","Stay protected against mosquito-borne diseases","Life Insurance"
"Tokio Marine","-","H&P","TM Protect PA","Stay covered against the unexpected moments in life","Life Insurance"
"Tokio Marine","-","Savings","TM Retirement GIO Plus (II)","Start early to secure your ideal retirement lifestyle","Life Insurance"
"Tokio Marine","-","Life","TM Term Assure (II)","Give your loved ones a gift of protection","Life Insurance"
"Tokio Marine","-","Investment","TM Wealth Aspire","Grow and protect your wealth for the next generation","Life Insurance"
"Tokio Marine","-","Investment","TM Wealth Enhancer","Make your money work harder to grow your wealth","Life Insurance"
"Tokio Marine","-","Travel","TM Xplora Travel Insurance","Travel Insurance (TM Xplora) is our commitment to let you travel the world, and be protected from major emergencies, as well as offering assurance against common travel inconveniences. As the region's travel and tourism industry booms, it's important that you are not caught off guard by accidents and mishaps, which could derail all your planning efforts.","General Insurance"
"Tokio Marine","-","H&P","TM365","Comforting news for your family. Thoughtful planning for the unexpected.","General Insurance"
"Tokio Marine","-","Investment","Wealth Max","Experience the epitome of wealth with your medium and long-term investments","Life Insurance"
"Tokio Marine","-","Investment","Wealth Pro","Experience the epitome of wealth with your medium and long-term investments","Life Insurance"
"","","Scraped at",":","2024-09-08 20:01 +08",""
