"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Manulife","-","Life","LifeReady Plus (II)","Boost your coverage up to 5x, till age 70 or 80","Life Insurance"
"Manulife","-","Life","ManuProtect Term (II)","Afforable and customisable coverage up to age 85","Life Insurance"
"Manulife","-","Life","ManuProtect Decreasing (II)","Insurance for mortgage loan protection","Life Insurance"
"Manulife","-","Life","DIRECT- ManuAssure Term","Up to S$400,000 coverage with optional add-ons","Life Insurance"
"Manulife","-","Life","DIRECT-ManuAssure Life","Up to S$200,000 coverage with optional add-ons","Life Insurance"
"Manulife","-","H&P","ReadyMummy","Covers mother against 14 pregnancy complications ","Life Insurance"
"Manulife","-","H&P","ReadyProtect","Afforable protection with up to S$1 million coverage","Life Insurance"
"Manulife","-","H&P","Manulife CI FlexiCare","Covers 126 critical illnesses (CI) conditions","Life Insurance"
"Manulife","-","H&P","Critical SelectCare","Covers selected critical illnesses & special conditions","Life Insurance"
"Manulife","-","Savings","Manulife IncomeGen (II)","Provides you a stream of monthly income up to age 120","Life Insurance"
"Manulife","-","Savings","Manulife Goal 2024 (III)","A 3-year single premium endowment plan with 100% capital guaranteed at maturity","Life Insurance"
"Manulife","-","Savings","RetireReady Plus (III)","A plan for retirement, for the golden years you’ve always dreamed of","Life Insurance"
"Manulife","-","Savings","ReadyBuilder (II)","Assemble your finances with the right building blocks","Life Insurance"
"Manulife","-","Savings","Manulife GrowSecure","Wealth accumulation with a lump sum payout at policy maturity","Life Insurance"
"Manulife","-","Savings","Manulife IncomeSecure","Provides yearly income stream as you craft a meaningful gift for your loved ones. ","Life Insurance"
"Manulife","-","Investment","Manulife InvestReady Growth","Grow your wealth portfolio with flexibility and added bonuses","Life Insurance"
"Manulife","-","Investment","Manulife SmartRetire (V)","Be in control to plan for your desired retirement","Life Insurance"
"Manulife","-","Investment","Manulife InvestReady (III)","Diversify your portfolio with access to a diverse range of funds","Life Insurance"
"Manulife","-","Investment","Manulink Investor (II)","Investment plan with a wide suite of professionally-managed funds to invest in.","Life Insurance"
"Manulife","-","Investment","ManuInvest Duo","Accumulate your wealth while protecting your lifestyle.","Life Insurance"
"Manulife","-","Legacy","Signature Legacy Growth (USD)","Seamlessly transfer your policy to future generations","Life Insurance"
"Manulife","-","Legacy","Signature Indexed Universal Life Select (II)","Earn potentially higher returns with downside protection","Life Insurance"
"Manulife","-","Legacy","Signature Income Series","Receive monthly income from policy month 37/49, till age 120","Life Insurance"
"Manulife","-","Legacy","Signature Life Series","Payment flexibility in SGD/USD","Life Insurance"
"Manulife","-","Legacy","Heirloom (VII)","Flexibility to customise your wealth distribution","Life Insurance"
"Manulife","-","Legacy","Signature Lifetime Rewards (II) (SGD)","Receive monthly income from policy month 13, up to age 120","Life Insurance"
"Manulife","-","Legacy","Signature Wealth","Safeguard your legacy with whole life coverage","Life Insurance"
"","","Scraped at",":","2024-09-06 00:01 +08",""
